date,start,end,notes
2017-05-08,10:28,11:19,"set up a standard Python application skeleton, research"
2017-05-08,12:00,13:02,"zip code database and geo-coordinates handling"
2017-05-08,13:08,15:41,"turn the lights on for dark sky API requests"
2017-05-08,15:58,16:41,"mocked Dark Sky API and testing the API"
2017-05-08,18:17,19:20,"initial Slack client and slack API, filter @botid msgs"
2017-05-09,10:41,11:58,"command parsing, slackclient mock and testing"
2017-05-09,12:33,,"responses, integration, and error handling"
